client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total
10.10.20.147,157.245.106.203,51105,443,6,13,6,7,2933,836,2097,2933,836,2097,1695930512413638000,1695930514719623000,2305985000,2,1,1,12,0,0,6,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,225.615
10.10.20.147,10.10.20.20,50298,53,17,2,1,1,168,76,92,168,76,92,1695930511376543000,1695930512412610000,1036067000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,84.000
10.10.20.147,172.86.75.88,50795,443,6,4,2,2,250,125,125,250,125,125,1695930499767411000,1695930500454103000,686692000,0,0,0,4,0,0,2,0,-,0,0,0,-,-,-,62.500
10.10.20.147,52.113.196.254,51101,443,6,25,11,14,9438,1423,8015,9438,1423,8015,1695930403249213000,1695930403512525000,263312000,2,1,1,24,0,0,9,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,377.520
10.10.20.147,204.79.197.222,51104,443,6,26,12,14,9965,2268,7697,9965,2268,7697,1695930403162723000,1695930403442968000,280245000,2,1,1,25,0,0,10,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,383.269
10.10.20.147,13.107.237.254,51103,443,6,34,16,18,10247,1777,8470,10247,1777,8470,1695930402834754000,1695930403159541000,324787000,2,1,1,33,0,0,14,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,301.382
10.10.20.147,10.10.20.20,56677,53,17,2,1,1,229,88,141,229,88,141,1695930402344208000,1695930402358430000,14222000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,114.500
10.10.20.147,204.79.197.222,51098,443,6,1,0,1,54,0,54,54,0,54,1695930364868713000,1695930364868713000,0,0,0,0,1,0,1,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,23.222.241.145,51100,443,6,58,28,30,18180,9125,9055,18180,9125,9055,1695930364398080000,1695930408017901000,43619821000,2,1,1,57,0,0,23,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,313.448
10.10.20.147,192.229.211.108,51099,80,6,11,6,5,2726,978,1748,2726,978,1748,1695930298587064000,1695930358741617000,60154553000,2,1,1,10,1,0,4,0,-,0,0,0,-,-,-,247.818
10.10.20.147,10.10.20.20,65384,53,17,2,1,1,259,77,182,259,77,182,1695930298536921000,1695930298583174000,46253000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,129.500
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695930257979433000,1695930318350234000,60370801000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.500
10.10.20.147,10.10.20.20,51089,49669,6,1,1,0,54,54,0,54,54,0,1695930239541633000,1695930239541633000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.20,10.10.20.147,49669,51089,6,2,2,0,108,108,0,108,108,0,1695930239541330000,1695930239541424000,94000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,204.79.197.222,51098,443,6,21,11,10,3117,2083,1034,3117,2083,1034,1695930238655448000,1695930238931911000,276463000,2,1,1,20,0,0,9,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,148.429
10.10.20.147,10.10.20.20,64848,53,17,2,1,1,221,77,144,221,77,144,1695930238148916000,1695930238198584000,49668000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.500
10.10.20.20,10.10.20.147,135,51088,6,2,2,0,108,108,0,108,108,0,1695930219528434000,1695930219528655000,221000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,157.245.106.203,51095,443,6,14,6,8,3018,836,2182,3018,836,2182,1695930205973941000,1695930273311853000,67337912000,2,1,1,13,1,0,7,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,215.571
10.10.20.147,10.10.20.20,53463,53,17,2,1,1,405,85,320,405,85,320,1695930204933125000,1695930204950005000,16880000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,202.500
10.10.20.20,10.10.20.147,389,51092,6,1,1,0,54,54,0,54,54,0,1695930204858088000,1695930204858088000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,10.10.20.20,51088,135,6,1,1,0,54,54,0,54,54,0,1695930219528993000,1695930219528993000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.20,10.10.20.147,389,51093,6,1,1,0,54,54,0,54,54,0,1695930204857614000,1695930204857614000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,10.10.20.20,51093,389,6,1,1,0,54,54,0,54,54,0,1695930204857510000,1695930204857510000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,10.10.20.20,51091,49669,6,23,13,10,6707,4318,2389,6707,4318,2389,1695930204839167000,1695930205733934000,894767000,2,1,1,22,0,1,16,0,-,0,0,0,-,-,-,291.609
10.10.20.147,10.10.20.20,51090,135,6,11,7,4,1758,886,872,1758,886,872,1695930204835766000,1695930205733892000,898126000,2,1,1,10,0,1,6,0,-,0,0,0,-,-,-,159.818
10.10.20.147,10.10.20.20,51089,49669,6,17,10,7,4967,3528,1439,4967,3528,1439,1695930204831492000,1695930239541112000,34709620000,2,1,1,16,1,0,10,0,-,0,0,0,-,-,-,292.176
10.10.20.147,10.10.20.20,51088,135,6,9,6,3,1214,664,550,1214,664,550,1695930204829671000,1695930219527981000,14698310000,2,1,1,8,1,0,4,0,-,0,0,0,-,-,-,134.889
10.10.20.147,10.10.20.255,138,138,17,1,1,0,243,243,0,243,243,0,1695930199909626000,1695930199909626000,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,243.000
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695930137109394000,1695930198044342000,60934948000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.500
10.10.20.147,10.10.20.1,137,137,17,4,4,0,440,440,0,440,440,0,1695930049519513000,1695930169514303000,119994790000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.000
10.10.20.147,20.42.65.90,51087,443,6,1,1,0,54,54,0,54,54,0,1695930048601101000,1695930048601101000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.000
10.10.20.147,20.42.65.90,51087,443,6,32,15,17,9733,3834,5899,9733,3834,5899,1695930047897487000,1695930048460534000,563047000,2,1,1,31,1,0,15,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,304.156
10.10.20.147,10.10.20.20,61793,53,17,2,1,1,315,89,226,315,89,226,1695930047456269000,1695930047896326000,440057000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,157.500
10.10.20.147,10.10.20.20,62641,53,17,4,3,1,379,228,151,379,228,151,1695930025540844000,1695930028755271000,3214427000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,94.750
10.10.20.147,10.10.20.20,54451,53,17,2,1,1,232,78,154,232,78,154,1695930025539946000,1695930025540363000,417000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,116.000
