time_start_s,client_ip,server_ip,server_port,anomaly_score,duration_s,packets_total,bytes_wire_total,ja4_alpn,ja4_has_sni,tls_client_hello_c2s
1710448923.153,10.3.14.101,104.17.123.55,443,0.9715206,26.814824,13881,13439124,h2;http/1.1,1,1
1710448921.827,10.3.14.101,20.42.65.92,443,0.6624796,0.0,1,66,-,0,0
1710448921.827,20.42.65.92,10.3.14.101,49781,0.64042306,0.0,1,66,-,0,0
1710448898.388,10.3.14.101,23.34.82.70,443,0.98059756,1.917443,22,8518,h2;http/1.1,1,1
1710448898.141,10.3.14.101,204.79.197.239,443,0.99078745,2.200353,31,12267,h2;http/1.1,1,1
1710448898.118,10.3.14.101,52.153.155.231,443,0.98772323,2.187819,20,9635,h2;http/1.1,1,1
1710448886.827,10.3.14.101,104.17.123.55,443,0.99791795,109.95636,15,5148,-,1,1
1710448910.32,10.3.14.101,91.134.150.150,3232,0.9944636,118.768943,46,14377,-,0,1
1710448898.118,10.3.14.101,13.107.6.158,443,0.9918685,2.188265,32,12473,h2;http/1.1,1,1
1710448869.775,10.3.14.101,162.125.8.15,443,0.98063344,9.154866,22,8304,h2;http/1.1,1,1
1710448901.192,10.3.14.101,91.134.150.150,3232,0.99722016,110.310308,1685,1588580,-,0,1
1710448898.118,10.3.14.101,104.17.123.55,443,0.98282915,2.188056,981,840347,h2;http/1.1,1,1
1710448878.965,10.3.14.101,162.125.8.15,443,0.9561342,0.0,1,60,-,0,0
1710448908.373,10.3.14.101,91.92.252.234,3232,0.9963697,13.473805,25,3918,-,0,1
1710448900.359,10.3.14.101,23.34.82.70,443,0.9561342,0.0,1,60,-,0,0
1710448890.357,10.3.14.101,104.17.123.55,443,0.96653205,0.330293,21,5587,h2;http/1.1,1,1
1710448917.455,10.3.14.101,208.95.112.1,80,0.8817246,39.64646,7,675,-,0,0
1710448923.679,10.3.14.101,91.134.150.150,3232,0.993082,113.022794,59,7390,-,0,1
1710448890.722,10.3.14.101,104.17.123.55,443,0.9703005,30.384403,29056,27427140,h2;http/1.1,1,1
1710448918.979,10.3.14.101,104.21.44.66,443,0.9976841,100.723923,16,7212,-,1,1
1710448914.581,10.3.14.101,91.92.252.234,3232,0.9956469,7.266837,8,807,-,0,1
1710448921.057,10.3.14.101,20.42.65.92,443,0.9959778,0.700789,23,14914,-,1,1
