client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.3.14.101,10.3.14.255,138,138,17,1,1,0,243,243,0,243,243,0,1710449064139889000,1710449064139889000,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,243.0,0.002644588,0,1,0.0,243.0,0.0,243.0,0.0,1,1,28507484,1710449040
10.3.14.101,91.134.150.150,49783,3232,6,28,14,14,2968,1760,1208,2968,1760,1208,1710449050352236000,1710449106788811000,56436575000,0,0,0,28,0,0,14,0,-,0,0,0,-,-,-,106.0,0.0043845675,0,1,56.436575,106.0,52.590009227172274,1.4569536423841059,0.6863636363636364,1,1,28507484,1710449040
10.3.14.101,91.134.150.150,49776,3232,6,16,8,8,1632,1152,480,1632,1152,480,1710449048409967000,1710449107859720000,59449753000,0,0,0,16,0,0,8,0,-,0,0,0,-,-,-,102.0,0.009525779,0,1,59.449753,102.0,27.451754088868963,2.4,0.4166666666666667,1,1,28507484,1710449040
10.3.14.101,91.134.150.150,49773,3232,6,39,19,20,4180,2428,1752,4180,2428,1752,1710449024589631000,1710449107139029000,82549398000,0,0,0,39,0,0,20,0,-,0,0,0,-,-,-,107.179,0.0054014027,0,1,82.549398,107.17948717948718,50.63634746312747,1.3858447488584476,0.7215815485996705,1,1,28507483,1710448980
104.21.44.66,10.3.14.101,443,49780,6,1,1,0,60,60,0,60,60,0,1710449019738753000,1710449019738753000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507483,1710448980
10.3.14.101,91.134.150.150,49774,7000,6,28,14,14,2036,1092,944,2036,1092,944,1710449036019354000,1710449100599063000,64579709000,0,0,0,28,0,0,20,0,-,0,0,0,-,-,-,72.714,0.006227841,0,1,64.579709,72.71428571428571,31.526930540984633,1.1567796610169492,0.8644688644688645,1,1,28507483,1710448980
10.3.14.101,104.16.185.241,49778,80,6,1,1,0,60,60,0,60,60,0,1710449018936519000,1710449018936519000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,60.0,0.059042837,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507483,1710448980
104.16.185.241,10.3.14.101,80,49778,6,1,1,0,60,60,0,60,60,0,1710449018936026000,1710449018936026000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507483,1710448980
104.17.123.55,10.3.14.101,443,49760,6,1,1,0,60,60,0,60,60,0,1710448996822136000,1710448996822136000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507483,1710448980
104.17.123.55,10.3.14.101,443,49782,6,1,1,0,60,60,0,60,60,0,1710448949990157000,1710448949990157000,0,0,0,0,1,1,0,0,0,-,0,0,0,-,-,-,60.0,0.037430726,0,1,0.0,60.0,0.0,60.0,0.0,1,1,28507482,1710448920
