incident_id,time_start_s,time_end_s,client_ip,server_ip,server_port,category,severity_level,severity_score,flows,avg_score,max_score,duration_median_s,packets_median,bytes_median,characteristic
inc_00002,1710448918.978733,1710449019.702656,10.3.14.101,104.21.44.66,443,Подозрительный TLS-профиль,Критический,100,1,0.9976841,0.9976841,100.723923,16.0,7212.0,"TLS-профиль содержит признаки не-браузерного стека: не-браузерный ALPN. Сессий: 1, длительность ~100.7с"
inc_00011,1710448908.37343,1710448921.84758,10.3.14.101,91.92.252.234,3232,Подозрительный TLS-профиль,Критический,100,2,0.9960083,0.9963697,10.370321,16.5,2362.5,"TLS-профиль содержит признаки не-браузерного стека: нестандартный порт 3232; отсутствует SNI у 100% сессий; не-браузерный ALPN. Сессий: 2, длительность ~10.4с"
inc_00010,1710448901.191642,1710449036.701508,10.3.14.101,91.134.150.150,3232,Крупный входящий поток,Критический,100,3,0.99492192,0.99722016,113.022794,59.0,14377.0,"Преобладание входящего трафика: вх=1557433 Б, исх=52914 Б"
inc_00003,1710448898.117781,1710448900.306046,10.3.14.101,13.107.6.158,443,Неклассифицированная аномалия,Критический,100,1,0.9918685,0.9918685,2.188265,32.0,12473.0,"TLS-соединение помечено моделью как аномалия: сессий=1, длительность ~2.2с, объём ~12473 Б"
inc_00006,1710448898.140595,1710448900.3409479,10.3.14.101,204.79.197.239,443,Неклассифицированная аномалия,Критический,100,1,0.99078745,0.99078745,2.200353,31.0,12267.0,"TLS-соединение помечено моделью как аномалия: сессий=1, длительность ~2.2с, объём ~12267 Б"
inc_00009,1710448898.118016,1710448900.305835,10.3.14.101,52.153.155.231,443,Неклассифицированная аномалия,Критический,100,1,0.98772323,0.98772323,2.187819,20.0,9635.0,"TLS-соединение помечено моделью как аномалия: сессий=1, длительность ~2.2с, объём ~9635 Б"
inc_00001,1710448886.8270452,1710448996.783405,10.3.14.101,104.17.123.55,443,Крупный входящий поток,Критический,100,5,0.97782005,0.99791795,26.814824,981.0,840347.0,"Преобладание входящего трафика: вх=40740929 Б, исх=976417 Б"
inc_00004,1710448869.774695,1710448878.964774,10.3.14.101,162.125.8.15,443,Подозрительный TLS-профиль,Критический,100,2,0.96838382,0.98063344,4.577433,11.5,4182.0,"TLS-профиль содержит признаки не-браузерного стека: отсутствует SNI у 50% сессий; не-браузерный ALPN. Сессий: 2, длительность ~4.6с"
inc_00008,1710448898.388438,1710448900.358616,10.3.14.101,23.34.82.70,443,Подозрительный TLS-профиль,Критический,100,2,0.96836588,0.98059756,0.9587215,11.5,4289.0,"TLS-профиль содержит признаки не-браузерного стека: отсутствует SNI у 50% сессий; не-браузерный ALPN. Сессий: 2, длительность ~1.0с"
inc_00007,1710448917.45463,1710448957.10109,10.3.14.101,208.95.112.1,80,Подозрительный TLS-профиль,Критический,98,1,0.8817246,0.8817246,39.64646,7.0,675.0,"TLS-профиль содержит признаки не-браузерного стека: отсутствует SNI у 100% сессий; не-браузерный ALPN. Сессий: 1, длительность ~39.6с"
inc_00005,1710448921.057046,1710448921.827222,10.3.14.101,20.42.65.92,443,Подозрительный TLS-профиль,Критический,93,2,0.8292287,0.9959778,0.3503945,12.0,7490.0,"TLS-профиль содержит признаки не-браузерного стека: отсутствует SNI у 50% сессий; не-браузерный ALPN. Сессий: 2, длительность ~0.4с"
inc_00012,1710448921.82692,1710448921.82692,20.42.65.92,10.3.14.101,49781,Подозрительный TLS-профиль,Высокий,76,1,0.64042306,0.64042306,0.0,1.0,66.0,"TLS-профиль содержит признаки не-браузерного стека: нестандартный порт 49781; отсутствует SNI у 100% сессий; не-браузерный ALPN. Сессий: 1, длительность ~0.0с"
