time_start_s,client_ip,server_ip,server_port,anomaly_score,duration_s,packets_total,bytes_wire_total,ja4_alpn,ja4_has_sni,tls_client_hello_c2s
1695930512.414,10.10.20.147,157.245.106.203,443,0.9969778,2.305985,13,2933,-,1,1
1695930403.249,10.10.20.147,52.113.196.254,443,0.9982071,0.263312,25,9438,h2;http/1.1,1,1
1695930403.163,10.10.20.147,204.79.197.222,443,0.99877447,0.280245,26,9965,h2;http/1.1,1,1
1695930402.835,10.10.20.147,13.107.237.254,443,0.9988223,0.324787,34,10247,h2;http/1.1,1,1
1695930364.869,10.10.20.147,204.79.197.222,443,0.97581995,0.0,1,54,-,0,0
1695930364.398,10.10.20.147,23.222.241.145,443,0.9987116,43.619821,58,18180,h2;http/1.1,1,1
1695930238.655,10.10.20.147,204.79.197.222,443,0.99704045,0.276463,21,3117,h2;http/1.1,1,1
1695930205.974,10.10.20.147,157.245.106.203,443,0.9967347,67.337912,14,3018,-,1,1
1695930047.897,10.10.20.147,20.42.65.90,443,0.9990823,0.563047,32,9733,h2;http/1.1,1,1
1695929903.13,10.10.20.147,157.245.106.203,443,0.9970944,67.794132,16,3157,-,1,1
1695929597.158,10.10.20.147,157.245.106.203,443,0.9967347,67.41819,14,3018,-,1,1
1695930238.379,10.10.20.147,23.218.224.14,443,0.9989837,60.41612,36,12139,h2;http/1.1,1,1
1695928387.684,10.10.20.147,157.245.106.203,443,0.9967347,67.306322,14,3018,-,1,1
1695928078.005,10.10.20.147,157.245.106.203,443,0.9967347,67.328177,14,3018,-,1,1
1695927234.414,10.10.20.147,52.168.117.169,443,0.9988018,2.672105,29,8644,h2;http/1.1,1,1
1695927163.625,10.10.20.147,157.245.106.203,443,0.9967347,67.16137,14,3018,-,1,1
1695926856.639,10.10.20.147,157.245.106.203,443,0.9967347,67.455045,14,3018,-,1,1
1695926251.643,10.10.20.147,157.245.106.203,443,0.99678266,62.409088,14,2987,-,1,1
1695926096.781,10.10.20.20,10.10.20.147,51058,0.9561342,0.0,1,54,-,0,0
1695925949.205,10.10.20.147,157.245.106.203,443,0.9967347,67.415289,14,3018,-,1,1
1695925773.167,10.10.20.20,10.10.20.147,51052,0.9561342,0.0,1,54,-,0,0
1695925646.862,10.10.20.147,157.245.106.203,443,0.9967347,67.268667,14,3018,-,1,1
1695925344.45,10.10.20.147,157.245.106.203,443,0.9967347,67.282493,14,3018,-,1,1
1695925038.127,10.10.20.147,157.245.106.203,443,0.99678266,65.869629,14,2987,-,1,1
1695924796.758,10.10.20.147,52.185.211.133,443,0.99854136,0.320327,22,6966,h2;http/1.1,1,1
1695924735.899,10.10.20.147,157.245.106.203,443,0.9967347,67.24069,14,3018,-,1,1
1695918238.648,10.10.20.20,10.10.20.147,50915,0.9561342,0.0,1,54,-,0,0
1695916938.396,10.10.20.147,23.222.241.142,443,0.99872595,20.472527,26,8171,h2;http/1.1,1,1
1695923930.489,141.98.80.158,10.10.20.147,51003,0.9354991,0.000196,2,108,-,0,0
1695924433.535,10.10.20.147,157.245.106.203,443,0.9967347,67.315692,14,3018,-,1,1
1695916938.396,10.10.20.147,23.222.241.142,443,0.998345,1.584415,96,65894,h2;http/1.1,1,1
1695916908.219,10.10.20.147,23.221.22.208,443,0.9810043,21.140331,4712,4680006,h2;http/1.1,1,1
1695925438.843,10.10.20.147,10.10.20.20,135,0.39485744,0.023567,10,1704,-,0,0
1695916907.634,10.10.20.147,204.79.197.203,443,0.9846222,21.724735,171,172240,h2;http/1.1,1,1
1695916907.155,10.10.20.147,13.107.22.239,443,0.98827773,22.214158,29,9544,h2;http/1.1,1,1
1695915529.802,10.10.20.147,20.189.173.2,443,0.9986765,109.941622,25,10758,-,1,1
1695922616.046,10.10.20.147,157.245.106.203,443,0.9967347,67.255347,14,3018,-,1,1
1695916905.289,10.10.20.147,23.218.232.186,443,0.98692864,24.073067,24,10759,h2;http/1.1,1,1
1695923958.311,10.10.20.147,141.98.80.158,443,0.9987356,0.992066,28,13670,-,1,1
1695916909.437,10.10.20.147,20.125.209.212,443,0.9910692,19.922441,30,11116,h2;http/1.1,1,1
1695916905.025,10.10.20.147,40.126.28.20,443,0.99828374,0.577,19,7294,h2;http/1.1,1,1
1695916906.885,10.10.20.147,13.107.22.239,443,0.98936546,22.484693,47,40194,h2;http/1.1,1,1
1695930204.951,10.10.20.147,40.126.28.12,443,0.9983411,0.783262,19,7295,h2;http/1.1,1,1
1695916856.199,10.10.20.147,157.245.106.203,443,0.9967347,67.195867,14,3014,-,1,1
1695923932.03,10.10.20.147,141.98.80.158,443,0.99884975,1.048943,27,13763,-,1,1
1695916248.57,10.10.20.147,157.245.106.203,443,0.9967347,67.290309,14,3014,-,1,1
