client_ip,server_ip,client_port,server_port,proto,packets_total,packets_c2s,packets_s2c,bytes_cap_total,bytes_cap_c2s,bytes_cap_s2c,bytes_wire_total,bytes_wire_c2s,bytes_wire_s2c,first_ts_ns,last_ts_ns,duration_ns,tcp_syn_total,tcp_syn_c2s,tcp_synack_s2c,tcp_ack_total,tcp_fin_total,tcp_rst_total,tcp_psh_total,tls_client_hello_c2s,ja4_legacy_version,ja4_cipher_suites_count,ja4_extensions_count,ja4_has_sni,ja4_alpn,ja4_cipher_suites,ja4_extensions,avg_wirelen_total,anomaly_score,is_anomaly,ja4_present,duration_s,bytes_per_packet,bytes_per_s,c2s_to_s2c_ratio,s2c_to_c2s_ratio,is_tls,is_tls_nonstandard_port,timeline_bucket_id,timeline_bucket_s
10.10.20.147,157.245.106.203,51105,443,6,13,6,7,2933,836,2097,2933,836,2097,1695930512413638000,1695930514719623000,2305985000,2,1,1,12,0,0,6,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,225.615,0.9969778,1,1,2.305985,225.6153846153846,1271.9076663551584,0.3986647591797806,2.5083732057416266,1,0,28265508,1695930480
10.10.20.147,10.10.20.20,50298,53,17,2,1,1,168,76,92,168,76,92,1695930511376543000,1695930512412610000,1036067000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,84.0,0.00025662422,0,1,1.036067,84.0,162.15167551905427,0.8260869565217391,1.2105263157894737,1,1,28265508,1695930480
10.10.20.147,172.86.75.88,50795,443,6,4,2,2,250,125,125,250,125,125,1695930499767411000,1695930500454103000,686692000,0,0,0,4,0,0,2,0,-,0,0,0,-,-,-,62.5,0.08142172,0,1,0.686692,62.5,364.0642384067384,1.0,1.0,1,0,28265508,1695930480
10.10.20.147,52.113.196.254,51101,443,6,25,11,14,9438,1423,8015,9438,1423,8015,1695930403249213000,1695930403512525000,263312000,2,1,1,24,0,0,9,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,377.52,0.9982071,1,1,0.263312,377.52,35843.410099046,0.17754210854647537,5.632466619817287,1,0,28265506,1695930360
10.10.20.147,204.79.197.222,51104,443,6,26,12,14,9965,2268,7697,9965,2268,7697,1695930403162723000,1695930403442968000,280245000,2,1,1,25,0,0,10,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,383.269,0.99877447,1,1,0.280245,383.2692307692308,35558.172313511386,0.2946602572430817,3.3937389770723105,1,0,28265506,1695930360
10.10.20.147,13.107.237.254,51103,443,6,34,16,18,10247,1777,8470,10247,1777,8470,1695930402834754000,1695930403159541000,324787000,2,1,1,33,0,0,14,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,301.382,0.9988223,1,1,0.324787,301.38235294117646,31549.90809361212,0.20979929161747343,4.766460326392797,1,0,28265506,1695930360
10.10.20.147,10.10.20.20,56677,53,17,2,1,1,229,88,141,229,88,141,1695930402344208000,1695930402358430000,14222000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,114.5,0.0001252694,0,1,0.014222,114.5,16101.81409084517,0.624113475177305,1.6022727272727273,1,1,28265506,1695930360
10.10.20.147,204.79.197.222,51098,443,6,1,0,1,54,0,54,54,0,54,1695930364868713000,1695930364868713000,0,0,0,0,1,0,1,0,0,-,0,0,0,-,-,-,54.0,0.97581995,1,1,0.0,54.0,0.0,0.0,54.0,1,0,28265506,1695930360
10.10.20.147,23.222.241.145,51100,443,6,58,28,30,18180,9125,9055,18180,9125,9055,1695930364398080000,1695930408017901000,43619821000,2,1,1,57,0,0,23,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,313.448,0.9987116,1,1,43.619821,313.44827586206895,416.78300330485075,1.007730535615682,0.9923287671232877,1,0,28265506,1695930360
10.10.20.147,192.229.211.108,51099,80,6,11,6,5,2726,978,1748,2726,978,1748,1695930298587064000,1695930358741617000,60154553000,2,1,1,10,1,0,4,0,-,0,0,0,-,-,-,247.818,0.012902108,0,1,60.154553,247.8181818181818,45.316603050811466,0.5594965675057209,1.787321063394683,1,1,28265504,1695930240
10.10.20.147,10.10.20.20,65384,53,17,2,1,1,259,77,182,259,77,182,1695930298536921000,1695930298583174000,46253000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,129.5,0.00012998794,0,1,0.046253,129.5,5599.636780316952,0.4230769230769231,2.3636363636363638,1,1,28265504,1695930240
10.10.20.147,172.86.75.88,50795,443,6,8,4,4,500,250,250,500,250,250,1695930257979433000,1695930318350234000,60370801000,0,0,0,8,0,0,4,0,-,0,0,0,-,-,-,62.5,0.029189369,0,1,60.370801,62.5,8.282149511317565,1.0,1.0,1,0,28265504,1695930240
10.10.20.147,10.10.20.20,51089,49669,6,1,1,0,54,54,0,54,54,0,1695930239541633000,1695930239541633000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.0,0.059042837,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265503,1695930180
10.10.20.20,10.10.20.147,49669,51089,6,2,2,0,108,108,0,108,108,0,1695930239541330000,1695930239541424000,94000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,54.0,0.0026246407,0,1,9.4e-05,54.0,1148936.170212766,108.0,0.0,1,1,28265503,1695930180
10.10.20.147,204.79.197.222,51098,443,6,21,11,10,3117,2083,1034,3117,2083,1034,1695930238655448000,1695930238931911000,276463000,2,1,1,20,0,0,9,1,0303,19,9,1,h2;http/1.1,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0010;0017;ff01,148.429,0.99704045,1,1,0.276463,148.42857142857142,11274.564769969218,2.014506769825919,0.49639942390782527,1,0,28265503,1695930180
10.10.20.147,10.10.20.20,64848,53,17,2,1,1,221,77,144,221,77,144,1695930238148916000,1695930238198584000,49668000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,110.5,0.00011416984,0,1,0.049668,110.5,4449.544978658291,0.5347222222222222,1.87012987012987,1,1,28265503,1695930180
10.10.20.20,10.10.20.147,135,51088,6,2,2,0,108,108,0,108,108,0,1695930219528434000,1695930219528655000,221000,0,0,0,2,1,0,0,0,-,0,0,0,-,-,-,54.0,0.010940779,0,1,0.000221,54.0,488687.78280542983,108.0,0.0,1,1,28265503,1695930180
10.10.20.147,157.245.106.203,51095,443,6,14,6,8,3018,836,2182,3018,836,2182,1695930205973941000,1695930273311853000,67337912000,2,1,1,13,1,0,7,1,0303,19,8,1,-,c02c;c02b;c030;c02f;c024;c023;c028;c027;c00a;c009;c014;c013;009d;009c;003d;003c;0035;002f;000a,0000;0005;000a;000b;000d;0023;0017;ff01,215.571,0.9967347,1,1,67.337912,215.57142857142858,44.81873450427153,0.383134738771769,2.610047846889952,1,0,28265503,1695930180
10.10.20.147,10.10.20.20,53463,53,17,2,1,1,405,85,320,405,85,320,1695930204933125000,1695930204950005000,16880000,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,202.5,9.535989e-05,0,1,0.01688,202.5,23992.890995260666,0.265625,3.764705882352941,1,1,28265503,1695930180
10.10.20.20,10.10.20.147,389,51092,6,1,1,0,54,54,0,54,54,0,1695930204858088000,1695930204858088000,0,0,0,0,0,0,1,0,0,-,0,0,0,-,-,-,54.0,0.05866665,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265503,1695930180
10.10.20.147,10.10.20.20,51088,135,6,1,1,0,54,54,0,54,54,0,1695930219528993000,1695930219528993000,0,0,0,0,1,0,0,0,0,-,0,0,0,-,-,-,54.0,0.059042837,0,1,0.0,54.0,0.0,54.0,0.0,1,1,28265503,1695930180
