timeline_bucket_s,anomaly_flows,avg_score
1695912120,1,0.96907145
1695912300,4,0.99801418
1695912480,6,0.9882005433333333
1695912540,7,0.9926865614285714
1695912600,2,0.99820188
1695912660,6,0.9588542766666667
1695912900,2,0.99764062
1695913200,1,0.9967347
1695913500,1,0.9967347
1695913740,3,0.7880124933333335
1695913800,1,0.9967347
1695914100,1,0.9970944
1695914400,1,0.9970944
1695914580,4,0.694687155
1695914700,1,0.9967347
1695915000,1,0.9967347
1695915300,1,0.9967347
1695915480,3,0.9987339533333334
1695915600,1,0.9967347
1695915900,1,0.9970944
1695916200,1,0.9967347
1695916380,1,0.9988305
1695916500,1,0.9967347
1695916800,1,0.9967347
1695916860,21,0.9417898419047619
1695916920,10,0.917001516
1695917100,1,0.9970944
1695917220,1,0.7851105
1695917460,1,0.9967347
1695917760,1,0.9967347
1695917820,1,0.99884987
1695918060,1,0.9967347
1695918180,3,0.59331444
1695918360,1,0.9967347
1695918660,2,0.99769513
1695918840,1,0.9561342
1695918960,3,0.9696677
1695919140,2,0.87267568
1695919260,1,0.9967347
1695919380,1,0.99894994
1695919560,1,0.9967347
1695919860,1,0.9967347
1695919980,1,0.99877614
1695920160,1,0.9967347
1695920460,1,0.9967347
1695920760,1,0.9967347
1695921060,1,0.9967347
1695921360,1,0.9967347
1695921480,6,0.9981516633333333
1695921600,1,0.97581995
1695921660,1,0.9967347
1695921780,2,0.71389109
1695921840,1,0.99865556
1695921960,1,0.9967347
1695922260,1,0.9967347
1695922560,1,0.9967347
1695922860,1,0.9967347
1695923220,1,0.9967347
1695923520,1,0.9967347
1695923580,4,0.9988182425000001
1695923700,2,0.97581995
1695923820,27,0.9743848262962963
1695923880,49,0.9707753693877551
1695923940,43,0.9658653039534885
1695924120,1,0.9967347
1695924420,1,0.9967347
1695924720,1,0.9967347
1695924780,1,0.99854136
1695925020,1,0.99678266
1695925320,1,0.9967347
1695925380,3,0.6075825733333333
1695925620,1,0.9967347
1695925740,2,0.9561342
1695925920,1,0.9967347
1695926040,2,0.9441928500000001
1695926220,1,0.99678266
1695926520,1,0.9967347
1695926820,1,0.9967347
1695927120,1,0.9967347
1695927180,1,0.9988018
1695927420,1,0.9967347
1695927720,1,0.99750596
1695928020,1,0.9967347
1695928380,1,0.9967347
1695928680,1,0.9967347
1695928980,3,0.9842137666666666
1695929100,1,0.9986608
1695929280,1,0.9967347
1695929580,1,0.9967347
1695929880,1,0.9970944
1695930000,1,0.9990823
1695930180,6,0.8998180166666666
1695930360,7,0.9921723428571428
1695930480,1,0.9969778
