incident_id,time_start_s,time_end_s,client_ip,server_ip,server_port,category,severity_level,severity_score,flows,avg_score,max_score,duration_median_s,packets_median,bytes_median,characteristic
inc_00036,1695930047.8974872,1695930048.460534,10.10.20.147,20.42.65.90,443,Активный TLS-клиент,Критический,100,1,0.9990823,0.9990823,0.563047,32.0,9733.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.6с, объём ~9733 Б"
inc_00018,1695930402.3591812,1695930402.779737,10.10.20.147,150.171.32.254,443,Активный TLS-клиент,Критический,100,1,0.99905103,0.99905103,0.420556,31.0,10099.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.4с, объём ~10099 Б"
inc_00046,1695912672.776463,1695912677.8551219,10.10.20.147,23.218.224.28,443,Активный TLS-клиент,Критический,100,1,0.9990181,0.9990181,5.078659,38.0,12488.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~5.1с, объём ~12488 Б"
inc_00039,1695912665.15808,1695912666.78071,10.10.20.147,20.50.201.200,443,Активный TLS-клиент,Критический,100,1,0.9990069,0.9990069,1.62263,28.0,9626.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~1.6с, объём ~9626 Б"
inc_00044,1695930238.3790631,1695930298.7951832,10.10.20.147,23.218.224.14,443,Активный TLS-клиент,Критический,100,1,0.9989837,0.9989837,60.41612,36.0,12139.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~60.4с, объём ~12139 Б"
inc_00057,1695929034.174825,1695929034.832214,10.10.20.147,51.104.15.253,443,Активный TLS-клиент,Критический,100,1,0.9989624,0.9989624,0.657389,27.0,8534.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.7с, объём ~8534 Б"
inc_00028,1695912538.4342752,1695912544.6392791,10.10.20.147,20.189.173.13,443,Неклассифицированная аномалия,Критический,100,3,0.9989591466666666,0.9989743,0.630643,25.0,8900.0,"TLS-соединение помечено моделью как аномалия: сессий=3, длительность ~0.6с, объём ~8900 Б"
inc_00051,1695919433.173894,1695919493.495883,10.10.20.147,23.222.241.146,443,Активный TLS-клиент,Критический,100,1,0.99894994,0.99894994,60.321989,30.0,11817.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~60.3с, объём ~11817 Б"
inc_00035,1695925434.3344781,1695925434.752241,10.10.20.147,20.42.65.89,443,Активный TLS-клиент,Критический,100,1,0.9989386,0.9989386,0.417763,27.0,8533.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.4с, объём ~8533 Б"
inc_00045,1695912694.898515,1695912709.116847,10.10.20.147,23.218.224.25,443,Активный TLS-клиент,Критический,100,1,0.99892896,0.99892896,14.218332,55.0,19008.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~14.2с, объём ~19008 Б"
inc_00024,1695912672.7768278,1695912677.855011,10.10.20.147,184.28.39.208,443,Активный TLS-клиент,Критический,100,1,0.9989242,0.9989242,5.078183,29.0,10965.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~5.1с, объём ~10965 Б"
inc_00058,1695912629.582742,1695912691.0097039,10.10.20.147,52.109.0.91,443,Подозрительный TLS-профиль,Критический,100,1,0.9988978,0.9988978,61.426962,20.0,9668.0,"TLS-профиль содержит признаки не-браузерного стека: не-браузерный ALPN. Сессий: 1, длительность ~61.4с"
inc_00062,1695921834.0086558,1695923634.850515,10.10.20.147,52.168.112.66,443,Неклассифицированная аномалия,Критический,100,2,0.9988897,0.9989489,0.5510935,31.0,9979.0,"Короткое TLS-соединение без явного паттерна: длительность ~0.55с, объём ~9979 Б"
inc_00033,1695912687.063055,1695912687.738239,10.10.20.147,20.246.247.192,443,Активный TLS-клиент,Критический,100,1,0.9988708,0.9988708,0.675184,21.0,11347.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.7с, объём ~11347 Б"
inc_00037,1695917836.082818,1695917836.474593,10.10.20.147,20.42.73.24,443,Активный TLS-клиент,Критический,100,1,0.99884987,0.99884987,0.391775,25.0,8715.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.4с, объём ~8715 Б"
inc_00003,1695916433.850986,1695916434.2349231,10.10.20.147,104.208.16.89,443,Активный TLS-клиент,Критический,100,1,0.9988305,0.9988305,0.383937,27.0,8533.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.4с, объём ~8533 Б"
inc_00008,1695930402.834754,1695930403.159541,10.10.20.147,13.107.237.254,443,Активный TLS-клиент,Критический,100,1,0.9988223,0.9988223,0.324787,34.0,10247.0,"Клиент проявляет атипично широкую активность: 240 аномальных сессий к 66 серверам. Данная сессия: длительность ~0.3с, объём ~10247 Б"
